id	en	fr	es	pt	de	ja
pricing/faq/3/answer	I don't know, but the flag is a big plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Je ne sais pas, mais le drapeau est un gros plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	No sé, pero la bandera es una gran ventaja. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Eu não sei, mas a bandeira é uma grande vantagem. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Ich weiß es nicht, aber die Fahne ist ein großes Plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	私は知らないが、フラグが大きなプラスです。 Loremのイプサム嘆き座るAMET consectetur adipisicing ELIT。 Quas cupiditate laboriosam fugiat。
pricing/faq/4/question	What's the best thing about Switzerland?	Quelle est la meilleure chose à propos de la Suisse?	¿Cuál es la mejor de Suiza?	Qual é a melhor coisa sobre Suíça?	Was ist das Beste, was über die Schweiz?	スイスについての最もよい事は何ですか？
pricing/faq/4/answer	I don't know, but the flag is a big plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Je ne sais pas, mais le drapeau est un gros plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	No sé, pero la bandera es una gran ventaja. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Eu não sei, mas a bandeira é uma grande vantagem. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Ich weiß es nicht, aber die Fahne ist ein großes Plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	私は知らないが、フラグが大きなプラスです。 Loremのイプサム嘆き座るAMET consectetur adipisicing ELIT。 Quas cupiditate laboriosam fugiat。
pricing/faq/5/question	What's the best thing about Switzerland?	Quelle est la meilleure chose à propos de la Suisse?	¿Cuál es la mejor de Suiza?	Qual é a melhor coisa sobre Suíça?	Was ist das Beste, was über die Schweiz?	スイスについての最もよい事は何ですか？
pricing/faq/5/answer	I don't know, but the flag is a big plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Je ne sais pas, mais le drapeau est un gros plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	No sé, pero la bandera es una gran ventaja. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Eu não sei, mas a bandeira é uma grande vantagem. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Ich weiß es nicht, aber die Fahne ist ein großes Plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	私は知らないが、フラグが大きなプラスです。 Loremのイプサム嘆き座るAMET consectetur adipisicing ELIT。 Quas cupiditate laboriosam fugiat。
pricing/faq/6/question	What's the best thing about Switzerland?	Quelle est la meilleure chose à propos de la Suisse?	¿Cuál es la mejor de Suiza?	Qual é a melhor coisa sobre Suíça?	Was ist das Beste, was über die Schweiz?	スイスについての最もよい事は何ですか？
pricing/faq/6/answer	I don't know, but the flag is a big plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Je ne sais pas, mais le drapeau est un gros plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	No sé, pero la bandera es una gran ventaja. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Eu não sei, mas a bandeira é uma grande vantagem. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Ich weiß es nicht, aber die Fahne ist ein großes Plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	私は知らないが、フラグが大きなプラスです。 Loremのイプサム嘆き座るAMET consectetur adipisicing ELIT。 Quas cupiditate laboriosam fugiat。
landing/hero/early/input/message	Join us in the early access program and get a free access to Virtuose.	Rejoignez-nous dans le programme d'accès anticipé et obtenir un accès gratuit à Virtuose.	Únase a nosotros en el programa de acceso temprano y conseguir un acceso libre a Virtuose.	Junte-se a nós no programa de acesso antecipado e obter um acesso livre para Virtuose.	Begleiten Sie uns in den frühen Zugang Programm und einen freien Zugang zu Virtuose.	早期アクセスプログラムにご参加してVIRTUOSEへの無料アクセスを取得します。
landing/hero/early/banner/label	Early access	Accès anticipé	Acceso temprano	Acesso antecipado	Früher Zugang	早期アクセス
landing/hero/early/banner/message	Help us and win a free access	Aidez-nous et gagnez un accès gratuit	Ayúdanos y ganar un acceso gratuito	Ajude-nos e ganhar um acesso livre	Helfen Sie uns und einen freien Zugang zu gewinnen	私たちを助け、自由なアクセスを獲得
